2025-12-03 23:28:54.559 [warning] [Decorations] CAPPING events from decorations provider vscode.git 306
2025-12-03 23:28:59.608 [warning] [Decorations] CAPPING events from decorations provider vscode.git 306
2025-12-03 23:29:04.659 [warning] [Decorations] CAPPING events from decorations provider vscode.git 307
2025-12-03 23:29:09.736 [warning] [Decorations] CAPPING events from decorations provider vscode.git 307
2025-12-03 23:29:14.798 [warning] [Decorations] CAPPING events from decorations provider vscode.git 307
2025-12-03 23:29:19.849 [warning] [Decorations] CAPPING events from decorations provider vscode.git 307
2025-12-03 23:29:24.916 [warning] [Decorations] CAPPING events from decorations provider vscode.git 307
2025-12-03 23:29:29.968 [warning] [Decorations] CAPPING events from decorations provider vscode.git 307
2025-12-03 23:29:35.027 [warning] [Decorations] CAPPING events from decorations provider vscode.git 307
2025-12-03 23:29:40.079 [warning] [Decorations] CAPPING events from decorations provider vscode.git 307
2025-12-03 23:29:45.130 [warning] [Decorations] CAPPING events from decorations provider vscode.git 307
2025-12-03 23:29:50.204 [warning] [Decorations] CAPPING events from decorations provider vscode.git 307
2025-12-03 23:29:55.405 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:30:00.508 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:30:06.589 [warning] [Decorations] CAPPING events from decorations provider vscode.git 313
2025-12-03 23:30:11.662 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:30:16.715 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:30:21.776 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:30:26.826 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:30:31.875 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:30:36.945 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:30:41.990 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:30:47.061 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:30:52.115 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:30:57.185 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:31:02.259 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:31:07.338 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:31:12.448 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:31:17.531 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:31:22.624 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:31:27.685 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:31:32.751 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:31:37.804 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:31:42.858 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:31:47.909 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:31:52.969 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:31:58.038 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:32:03.128 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:32:08.182 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:32:13.240 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:32:18.311 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:32:23.373 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:32:28.447 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:32:33.579 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:32:38.676 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:32:43.767 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:32:48.818 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:32:53.881 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:32:58.930 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:33:03.991 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:33:09.044 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:33:14.094 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:33:19.147 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:33:24.199 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:33:29.251 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:33:34.341 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:33:39.395 [warning] [Decorations] CAPPING events from decorations provider vscode.git 311
2025-12-03 23:33:44.495 [warning] [Decorations] CAPPING events from decorations provider vscode.git 313
2025-12-03 23:33:49.618 [warning] [Decorations] CAPPING events from decorations provider vscode.git 313
2025-12-03 23:33:54.720 [warning] [Decorations] CAPPING events from decorations provider vscode.git 313
2025-12-03 23:33:59.807 [warning] [Decorations] CAPPING events from decorations provider vscode.git 313
2025-12-03 23:34:04.868 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:34:09.954 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:34:15.024 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:34:20.096 [warning] [Decorations] CAPPING events from decorations provider vscode.git 316
2025-12-03 23:34:25.145 [warning] [Decorations] CAPPING events from decorations provider vscode.git 316
2025-12-03 23:34:30.205 [warning] [Decorations] CAPPING events from decorations provider vscode.git 316
2025-12-03 23:34:35.350 [warning] [Decorations] CAPPING events from decorations provider vscode.git 314
2025-12-03 23:34:40.407 [warning] [Decorations] CAPPING events from decorations provider vscode.git 314
2025-12-03 23:34:45.476 [warning] [Decorations] CAPPING events from decorations provider vscode.git 314
2025-12-03 23:34:50.530 [warning] [Decorations] CAPPING events from decorations provider vscode.git 314
2025-12-03 23:34:55.587 [warning] [Decorations] CAPPING events from decorations provider vscode.git 314
2025-12-03 23:35:00.730 [warning] [Decorations] CAPPING events from decorations provider vscode.git 314
2025-12-03 23:35:05.830 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:35:10.947 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:35:16.009 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:35:21.065 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:35:26.172 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:35:31.229 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:35:36.291 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:35:41.359 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:35:46.412 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:35:51.482 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:35:56.550 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:01.598 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:04.845 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:06.661 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:11.725 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:16.817 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:21.898 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:27.079 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:32.143 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:37.224 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:42.306 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:47.363 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:52.427 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:36:57.486 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:37:02.551 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:37:07.604 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:37:12.656 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:37:17.715 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:37:22.782 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:37:27.870 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:37:33.044 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
2025-12-03 23:37:38.134 [warning] [Decorations] CAPPING events from decorations provider vscode.git 315
